"id","created_at","updated_at","name","cluster"
"818","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","self reliance","humanitarian aid"
"819","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","cholera outbreak","pests and diseases"
"820","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","international embargo","humanitarian aid"
"821","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","farmland","land-related issues"
"822","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","totalitarian","political instability"
"823","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","authoritarian","political instability"
"824","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","dictators","political instability"
"825","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","clans","conflicts and violence"
"826","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","gastrointestinal","food crisis"
"827","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","terrorist","conflicts and violence"
"828","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","warlord","conflicts and violence"
"829","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","d'etat","political instability"
"830","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","overthrow","political instability"
"831","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","convoys","conflicts and violence"
"832","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","carbon","environmental issues"
"833","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","mayhem","conflicts and violence"
"834","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","dehydrated","food crisis"
"835","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","mismanagement","political instability"
